1,774,63,346,Typ Naprawy 4,2018-01-04,NULL,2253.58
2,990,213,752,Typ Naprawy 14,2021-04-05,NULL,14942.70
3,499,141,649,Typ Naprawy 2,2021-03-02,NULL,7985.85
4,912,176,34,Typ Naprawy 1,2019-04-15,NULL,7194.63
5,794,177,25,Typ Naprawy 17,2022-01-25,NULL,2885.65
6,229,52,109,Typ Naprawy 10,2022-03-14,NULL,5812.27
7,935,181,193,Typ Naprawy 2,2023-02-22,NULL,8114.09
8,699,162,198,Typ Naprawy 6,2022-03-13,NULL,13171.09
9,79,153,222,Typ Naprawy 15,2020-04-24,NULL,276.89
10,958,11,721,Typ Naprawy 9,2018-04-03,NULL,2922.94
11,47,364,779,Typ Naprawy 11,2020-04-03,NULL,2689.66
12,324,240,868,Typ Naprawy 9,2022-03-08,NULL,11260.34
13,268,495,79,Typ Naprawy 5,2019-03-08,NULL,12737.28
14,650,134,148,Typ Naprawy 7,2021-02-03,NULL,4676.82
15,260,232,198,Typ Naprawy 13,2021-02-04,NULL,3736.44
16,196,110,333,Typ Naprawy 16,2019-01-09,NULL,1030.37
17,642,288,878,Typ Naprawy 12,2022-01-01,NULL,1301.39
18,648,313,478,Typ Naprawy 12,2019-01-04,NULL,11805.55
19,477,107,146,Typ Naprawy 20,2020-02-04,NULL,10704.21
20,363,17,786,Typ Naprawy 9,2019-03-01,NULL,14176.49
21,889,123,193,Typ Naprawy 16,2022-02-11,NULL,3835.57
22,241,181,935,Typ Naprawy 15,2019-01-20,NULL,12468.09
23,171,156,615,Typ Naprawy 15,2020-02-16,NULL,10471.84
24,48,52,713,Typ Naprawy 1,2019-04-07,NULL,10220.83
25,104,440,434,Typ Naprawy 9,2022-03-06,NULL,932.15
26,52,485,807,Typ Naprawy 18,2021-03-10,NULL,12052.01
27,293,56,965,Typ Naprawy 3,2020-02-01,NULL,7146.43
28,580,315,204,Typ Naprawy 7,2022-01-05,NULL,10616.44
29,23,456,375,Typ Naprawy 11,2018-03-19,NULL,5312.52
30,418,446,214,Typ Naprawy 3,2018-02-20,NULL,3372.21
31,900,61,620,Typ Naprawy 20,2021-04-22,NULL,7163.26
32,766,219,410,Typ Naprawy 1,2020-04-22,NULL,9341.85
33,791,198,626,Typ Naprawy 5,2021-02-03,NULL,2225.39
34,11,435,876,Typ Naprawy 3,2021-03-01,NULL,11374.02
35,919,10,837,Typ Naprawy 10,2022-02-18,NULL,4384.88
36,447,23,850,Typ Naprawy 9,2019-04-16,NULL,2705.58
37,192,238,90,Typ Naprawy 12,2019-01-24,NULL,9048.09
38,214,64,809,Typ Naprawy 17,2021-04-21,NULL,3727.35
39,991,476,702,Typ Naprawy 17,2018-04-09,NULL,9903.89
40,478,227,110,Typ Naprawy 4,2022-01-22,NULL,4243.01
41,650,497,574,Typ Naprawy 9,2018-03-07,NULL,786.18
42,748,25,702,Typ Naprawy 11,2023-03-20,NULL,10033.48
