1,2136,Wyposa¿enie 1,1481.81
2,5904,Wyposa¿enie 2,1179.00
3,8760,Wyposa¿enie 3,60.44
4,6225,Wyposa¿enie 4,675.54
5,1591,Wyposa¿enie 5,195.15
6,2982,Wyposa¿enie 6,1116.20
7,7820,Wyposa¿enie 7,944.60
8,3312,Wyposa¿enie 8,856.53
9,404,Wyposa¿enie 9,1098.72
10,7242,Wyposa¿enie 10,1110.98
11,3603,Wyposa¿enie 11,186.78
12,4488,Wyposa¿enie 12,890.70
13,8120,Wyposa¿enie 13,1131.51
14,8634,Wyposa¿enie 14,950.17
15,1476,Wyposa¿enie 15,1180.81
16,2789,Wyposa¿enie 16,837.86
17,8219,Wyposa¿enie 17,525.84
18,5396,Wyposa¿enie 18,1421.10
19,2220,Wyposa¿enie 19,738.20
20,4763,Wyposa¿enie 20,1330.74
21,8590,Wyposa¿enie 21,683.07
22,5293,Wyposa¿enie 22,1145.50
23,75,Wyposa¿enie 23,1192.49
24,5214,Wyposa¿enie 24,861.89
25,3314,Wyposa¿enie 25,55.71
26,4331,Wyposa¿enie 26,119.48
27,4887,Wyposa¿enie 27,209.48
28,8200,Wyposa¿enie 28,1227.05
29,5166,Wyposa¿enie 29,1086.38
30,3418,Wyposa¿enie 30,1259.98
31,2808,Wyposa¿enie 31,353.88
32,9351,Wyposa¿enie 32,824.27
33,2829,Wyposa¿enie 33,651.96
34,2507,Wyposa¿enie 34,1257.10
35,1099,Wyposa¿enie 35,712.05
36,141,Wyposa¿enie 36,459.73
37,8813,Wyposa¿enie 37,264.98
38,976,Wyposa¿enie 38,1182.94
39,3631,Wyposa¿enie 39,1021.24
40,6702,Wyposa¿enie 40,1359.77
41,2097,Wyposa¿enie 41,1230.64
42,1666,Wyposa¿enie 42,606.78
43,4507,Wyposa¿enie 43,904.90
44,597,Wyposa¿enie 44,1188.64
45,9777,Wyposa¿enie 45,710.37
46,6684,Wyposa¿enie 46,1316.18
47,4518,Wyposa¿enie 47,1464.24
48,3679,Wyposa¿enie 48,1123.51
49,9589,Wyposa¿enie 49,291.48
50,3469,Wyposa¿enie 50,344.63
51,2333,Wyposa¿enie 51,526.11
52,6430,Wyposa¿enie 52,784.62
53,2525,Wyposa¿enie 53,963.36
54,2185,Wyposa¿enie 54,1305.42
55,1473,Wyposa¿enie 55,397.16
56,1016,Wyposa¿enie 56,1322.42
57,1852,Wyposa¿enie 57,449.33
58,8281,Wyposa¿enie 58,531.33
59,2455,Wyposa¿enie 59,574.07
60,8438,Wyposa¿enie 60,710.77
61,4536,Wyposa¿enie 61,145.36
62,2534,Wyposa¿enie 62,221.34
63,2870,Wyposa¿enie 63,60.22
64,853,Wyposa¿enie 64,96.20
65,9532,Wyposa¿enie 65,1364.99
66,4578,Wyposa¿enie 66,743.07
67,44,Wyposa¿enie 67,588.59
68,6920,Wyposa¿enie 68,903.79
69,7398,Wyposa¿enie 69,1039.69
70,3904,Wyposa¿enie 70,1091.25
71,4841,Wyposa¿enie 71,600.71
72,5076,Wyposa¿enie 72,1398.84
73,6777,Wyposa¿enie 73,1376.80
74,502,Wyposa¿enie 74,253.16
75,818,Wyposa¿enie 75,282.23
76,6002,Wyposa¿enie 76,1405.17
77,3900,Wyposa¿enie 77,122.48
78,9602,Wyposa¿enie 78,929.73
79,9615,Wyposa¿enie 79,254.31
80,2401,Wyposa¿enie 80,679.53
81,2793,Wyposa¿enie 81,581.86
82,7730,Wyposa¿enie 82,1113.11
83,446,Wyposa¿enie 83,1171.70
84,1346,Wyposa¿enie 84,1092.35
85,207,Wyposa¿enie 85,794.49
86,3947,Wyposa¿enie 86,1070.40
87,1534,Wyposa¿enie 87,1326.44
88,2250,Wyposa¿enie 88,1014.38
89,1248,Wyposa¿enie 89,1017.12
90,3027,Wyposa¿enie 90,1083.86
91,8868,Wyposa¿enie 91,958.67
92,4019,Wyposa¿enie 92,760.15
93,5268,Wyposa¿enie 93,511.81
94,2119,Wyposa¿enie 94,96.95
95,298,Wyposa¿enie 95,223.07
96,9067,Wyposa¿enie 96,237.23
97,5221,Wyposa¿enie 97,1040.80
98,421,Wyposa¿enie 98,1067.13
99,6939,Wyposa¿enie 99,961.68
100,5892,Wyposa¿enie 100,401.89
101,7904,Wyposa¿enie 101,1117.44
102,8499,Wyposa¿enie 102,1274.40
103,7608,Wyposa¿enie 103,682.76
104,658,Wyposa¿enie 104,1271.13
105,1514,Wyposa¿enie 105,1313.43
106,6151,Wyposa¿enie 106,936.59
107,5207,Wyposa¿enie 107,496.68
108,2432,Wyposa¿enie 108,840.69
109,7913,Wyposa¿enie 109,322.37
110,2684,Wyposa¿enie 110,1130.36
111,8718,Wyposa¿enie 111,907.11
112,811,Wyposa¿enie 112,709.57
113,1767,Wyposa¿enie 113,629.39
114,7444,Wyposa¿enie 114,1169.08
115,556,Wyposa¿enie 115,1408.93
116,1494,Wyposa¿enie 116,1010.66
117,2083,Wyposa¿enie 117,587.08
118,8272,Wyposa¿enie 118,1236.30
