1,83,Salon 1
2,31,Salon 2
3,65,Salon 3
4,88,Salon 4
5,14,Salon 5
6,14,Salon 6
7,26,Salon 7
8,42,Salon 8
9,72,Salon 9
10,52,Salon 10
11,14,Salon 11
12,11,Salon 12
13,90,Salon 13
14,38,Salon 14
15,61,Salon 15
16,2,Salon 16
17,75,Salon 17
18,41,Salon 18
19,89,Salon 19
20,22,Salon 20
21,75,Salon 21
22,64,Salon 22
23,83,Salon 23
24,80,Salon 24
25,54,Salon 25
26,19,Salon 26
27,68,Salon 27
28,53,Salon 28
29,36,Salon 29
30,72,Salon 30
31,7,Salon 31
32,25,Salon 32
33,30,Salon 33
34,64,Salon 34
35,6,Salon 35
36,3,Salon 36
37,38,Salon 37
38,25,Salon 38
39,71,Salon 39
40,91,Salon 40
41,46,Salon 41
42,11,Salon 42
43,1,Salon 43
44,74,Salon 44
45,70,Salon 45
46,27,Salon 46
47,46,Salon 47
48,89,Salon 48
49,67,Salon 49
50,95,Salon 50
51,96,Salon 51
52,25,Salon 52
53,83,Salon 53
54,84,Salon 54
55,23,Salon 55
56,5,Salon 56
57,70,Salon 57
58,8,Salon 58
59,73,Salon 59
60,96,Salon 60
61,61,Salon 61
62,28,Salon 62
63,17,Salon 63
64,41,Salon 64
65,66,Salon 65
66,5,Salon 66
67,12,Salon 67
68,64,Salon 68
69,99,Salon 69
70,64,Salon 70
71,77,Salon 71
72,95,Salon 72
73,83,Salon 73
74,80,Salon 74
75,74,Salon 75
76,21,Salon 76
77,58,Salon 77
78,23,Salon 78
79,51,Salon 79
80,61,Salon 80
81,15,Salon 81
82,69,Salon 82
83,91,Salon 83
84,82,Salon 84
85,31,Salon 85
86,96,Salon 86
87,57,Salon 87
88,2,Salon 88
89,93,Salon 89
90,83,Salon 90
91,1,Salon 91
92,97,Salon 92
93,69,Salon 93
94,50,Salon 94
95,62,Salon 95
96,71,Salon 96
97,93,Salon 97
98,34,Salon 98
99,98,Salon 99
100,16,Salon 100
