1,Stanowisko 1,49
2,Stanowisko 2,34
3,Stanowisko 3,31
4,Stanowisko 4,24
5,Stanowisko 5,28
6,Stanowisko 6,41
7,Stanowisko 7,44
8,Stanowisko 8,11
9,Stanowisko 9,31
10,Stanowisko 10,19
11,Stanowisko 11,46
12,Stanowisko 12,23
13,Stanowisko 13,26
14,Stanowisko 14,28
15,Stanowisko 15,31
16,Stanowisko 16,36
17,Stanowisko 17,27
18,Stanowisko 18,28
19,Stanowisko 19,33
20,Stanowisko 20,23
21,Stanowisko 21,48
22,Stanowisko 22,33
23,Stanowisko 23,29
24,Stanowisko 24,18
25,Stanowisko 25,31
26,Stanowisko 26,31
27,Stanowisko 27,45
28,Stanowisko 28,44
29,Stanowisko 29,9
30,Stanowisko 30,36
31,Stanowisko 31,36
32,Stanowisko 32,43
33,Stanowisko 33,33
34,Stanowisko 34,31
35,Stanowisko 35,48
36,Stanowisko 36,9
37,Stanowisko 37,18
38,Stanowisko 38,20
39,Stanowisko 39,11
40,Stanowisko 40,29
41,Stanowisko 41,17
42,Stanowisko 42,46
43,Stanowisko 43,40
44,Stanowisko 44,21
45,Stanowisko 45,5
46,Stanowisko 46,23
47,Stanowisko 47,44
48,Stanowisko 48,38
49,Stanowisko 49,48
50,Stanowisko 50,17
51,Stanowisko 51,11
52,Stanowisko 52,6
53,Stanowisko 53,47
54,Stanowisko 54,20
55,Stanowisko 55,31
56,Stanowisko 56,45
57,Stanowisko 57,8
58,Stanowisko 58,25
59,Stanowisko 59,43
60,Stanowisko 60,50
61,Stanowisko 61,33
62,Stanowisko 62,8
63,Stanowisko 63,32
64,Stanowisko 64,50
65,Stanowisko 65,7
66,Stanowisko 66,9
67,Stanowisko 67,27
68,Stanowisko 68,5
69,Stanowisko 69,22
70,Stanowisko 70,18
71,Stanowisko 71,9
72,Stanowisko 72,44
73,Stanowisko 73,10
74,Stanowisko 74,17
75,Stanowisko 75,19
76,Stanowisko 76,40
77,Stanowisko 77,6
78,Stanowisko 78,18
79,Stanowisko 79,26
80,Stanowisko 80,11
81,Stanowisko 81,43
82,Stanowisko 82,43
83,Stanowisko 83,17
84,Stanowisko 84,12
85,Stanowisko 85,12
86,Stanowisko 86,17
87,Stanowisko 87,14
88,Stanowisko 88,34
89,Stanowisko 89,21
90,Stanowisko 90,12
91,Stanowisko 91,50
92,Stanowisko 92,42
93,Stanowisko 93,17
94,Stanowisko 94,27
95,Stanowisko 95,8
96,Stanowisko 96,33
97,Stanowisko 97,35
98,Stanowisko 98,38
99,Stanowisko 99,12
100,Stanowisko 100,20
