1,51,228,755,2018-03-21
2,857,331,194,2018-03-06
3,383,297,839,2021-03-03
4,718,426,577,2018-03-05
5,530,329,782,2023-03-12
6,836,373,737,2022-01-18
7,364,84,968,2023-02-06
8,34,383,422,2019-01-23
9,59,95,231,2021-03-10
10,804,309,942,2018-04-05
11,321,12,89,2021-03-03
12,287,70,685,2018-04-05
13,533,455,474,2019-01-21
14,851,33,360,2022-01-21
15,366,29,230,2023-04-15
16,881,371,919,2022-01-17
17,501,470,126,2021-03-09
18,502,405,765,2020-01-15
19,683,179,744,2018-01-15
20,847,256,74,2021-01-23
21,376,360,228,2020-03-25
22,669,467,27,2018-01-19
23,711,119,157,2021-03-25
24,763,470,888,2018-01-19
25,510,281,229,2018-03-23
26,222,241,327,2021-02-07
27,802,349,573,2022-01-24
28,453,103,839,2023-02-20
29,283,46,427,2022-04-07
30,594,204,456,2021-01-08
31,829,188,557,2021-03-06
32,255,240,337,2021-04-17
33,375,19,141,2021-04-12
34,468,245,914,2018-02-18
35,263,131,430,2018-01-09
36,984,455,28,2023-01-16
37,509,260,974,2022-02-23
38,959,66,405,2018-03-01
39,47,313,732,2023-02-24
40,92,455,945,2019-01-16
41,526,222,13,2019-04-10
42,111,399,198,2022-04-07
43,799,254,393,2022-04-20
44,816,469,311,2021-02-10
45,477,477,52,2019-02-06
46,340,263,275,2020-02-01
47,333,291,10,2023-04-09
48,840,272,735,2019-03-08
49,354,338,914,2018-03-02
50,597,371,282,2019-02-12
51,898,277,207,2021-01-20
52,491,374,119,2018-03-18
53,449,116,635,2019-01-17
54,457,380,8,2020-01-04
55,357,166,181,2019-04-25
56,500,172,441,2023-01-24
57,738,401,741,2021-02-24
58,781,459,996,2020-01-23
59,543,145,182,2020-03-06
60,320,252,84,2021-04-22
61,665,437,91,2020-04-13
62,235,462,604,2020-04-05
63,703,245,477,2023-01-04
64,245,182,416,2022-02-16
65,253,395,116,2022-04-25
66,367,419,876,2018-01-08
67,277,19,565,2020-01-24
68,55,98,708,2018-03-11
69,11,485,851,2022-04-14
70,91,202,572,2021-01-09
71,769,191,865,2022-01-20
72,258,111,370,2018-02-15
73,75,270,831,2023-02-01
74,882,445,992,2020-04-22
75,715,254,514,2020-03-21
76,862,500,431,2022-04-11
77,464,116,82,2020-01-16
78,758,97,593,2023-03-24
79,442,274,791,2020-03-01
80,404,312,901,2019-02-06
81,649,430,443,2018-02-09
82,436,32,233,2021-04-15
83,72,455,398,2023-02-23
84,620,335,139,2020-01-09
85,148,390,286,2023-02-17
86,197,100,664,2022-01-04
87,698,359,550,2020-04-24
88,664,461,241,2022-02-01
89,832,286,489,2020-04-08
90,5,156,827,2018-03-05
91,210,467,839,2018-03-20
92,664,420,767,2021-02-14
93,89,444,815,2023-02-05
94,797,276,226,2022-03-18
95,39,259,422,2020-01-18
96,742,196,389,2021-01-01
97,22,348,847,2018-01-25
98,563,436,560,2022-01-02
99,170,229,244,2019-04-21
100,154,293,971,2023-01-09
101,572,395,628,2022-04-15
102,751,221,917,2021-03-09
103,936,190,877,2019-01-17
104,269,141,249,2022-02-21
105,138,408,181,2023-04-11
106,149,242,669,2018-01-01
