1,411,697
2,248,200
3,455,798
4,58,481
5,40,43
6,481,208
7,265,501
8,44,127
9,372,462
10,324,76
11,466,616
12,164,421
13,28,754
14,340,605
15,33,511
16,139,48
17,38,631
18,491,467
19,24,669
20,316,423
21,116,307
22,286,520
23,365,259
24,11,601
25,381,960
26,290,315
27,41,940
28,305,213
29,54,667
30,4,693
31,76,551
32,47,336
33,375,438
34,226,399
35,106,721
36,143,859
37,219,270
38,192,562
39,92,440
40,213,770
41,283,838
42,132,662
43,46,97
44,271,23
45,52,42
46,458,276
47,471,11
48,182,636
49,136,356
50,193,3
51,248,890
52,387,132
53,278,571
54,276,871
55,264,93
56,395,523
57,143,95
58,382,677
59,29,440
60,199,170
61,414,359
62,222,825
63,154,970
64,424,196
65,236,75
66,483,392
67,463,712
68,167,75
69,416,298
70,429,159
71,473,864
72,71,236
73,220,645
74,227,562
75,279,919
76,191,534
77,458,82
78,363,989
79,373,876
80,424,55
81,12,266
82,78,86
83,385,555
84,73,848
85,149,755
86,201,240
87,353,467
88,493,76
89,434,383
90,172,691
91,235,552
92,87,253
93,470,355
94,107,823
95,189,473
96,303,510
97,270,513
98,308,12
99,421,851
100,231,330
101,493,694
102,222,877
103,390,981
104,187,4
105,170,884
106,109,776
107,41,722
108,465,484
109,357,538
110,28,256
111,205,642
112,185,649
113,437,687
114,126,739
115,292,400
116,202,961
117,321,851
118,245,700
119,344,549
120,376,467
121,435,478
122,86,474
123,226,108
124,171,950
125,27,743
126,359,623
127,106,557
128,430,815
129,406,38
130,103,10
131,492,298
132,318,439
133,468,410
134,446,518
135,17,917
136,287,706
137,5,940
138,199,848
139,325,528
140,290,89
141,245,226
142,112,437
143,351,763
144,402,144
145,228,333
146,433,674
147,403,778
148,146,481
149,199,772
150,281,10
151,27,124
152,153,984
153,476,726
154,467,68
155,186,325
156,374,133
157,6,995
158,27,81
159,212,868
160,432,29
161,151,788
162,426,754
163,109,598
164,28,601
165,241,783
166,398,497
167,337,114
168,442,822
169,213,276
170,495,11
171,237,747
172,247,339
173,467,275
174,355,813
175,273,313
176,358,118
177,351,67
178,247,683
179,308,424
180,466,567
181,178,508
182,260,242
183,384,359
184,357,67
185,471,15
186,276,127
187,183,34
188,201,523
189,478,968
190,41,598
191,163,136
192,18,154
193,165,51
194,448,997
195,14,678
196,309,171
197,326,996
198,220,614
199,487,931
200,376,752
201,203,45
202,383,344
203,39,866
204,263,452
205,285,500
206,113,510
207,321,211
208,489,66
209,160,602
210,433,175
211,247,458
212,337,228
213,162,205
214,18,388
215,474,270
216,405,773
217,19,919
218,51,926
219,134,683
220,3,991
221,328,669
222,219,29
223,231,240
224,82,110
225,261,729
226,458,337
227,373,850
228,298,578
229,357,617
230,210,749
231,485,344
232,393,745
233,461,709
234,131,311
235,339,61
236,419,955
237,277,565
238,127,42
239,458,529
240,115,796
241,122,496
242,434,245
243,38,616
244,15,854
245,243,390
246,276,289
247,473,25
248,292,309
249,265,400
250,290,582
251,338,104
252,52,257
253,394,418
254,493,310
255,108,213
256,102,431
257,61,344
258,127,296
259,198,43
260,209,176
261,116,366
262,279,471
263,201,945
264,486,896
265,361,422
