1,Czesc 1,VJWCPK2KZOV8QX1,1035.40
2,Czesc 2,O2OPNXJUGGKR3GL,838.03
3,Czesc 3,GPUSA1FJENK6YLE,313.74
4,Czesc 4,QPZBQSLTHOR0U00,2015.40
5,Czesc 5,L2429CGPOIU8AAP,1024.77
6,Czesc 6,1LQRZXJNM0BTLKL,1265.59
7,Czesc 7,WNYZQYLT4OYFD4R,2815.38
8,Czesc 8,SAGII9PWTZKQN5D,818.21
9,Czesc 9,RVE6LI31KUQD1IJ,1797.59
10,Czesc 10,D5TJ7008JEEWY3V,2268.43
11,Czesc 11,7NAE51PJQJ0B4HL,2149.66
12,Czesc 12,6MQ1DHBFF4ATGTG,776.88
13,Czesc 13,BAAPJUZ9V48QBS1,1615.01
14,Czesc 14,SWY2LTUARUNVYR6,2470.22
15,Czesc 15,5M8IKM26718LAWS,202.84
16,Czesc 16,34DDNNURTV9OGAK,1240.10
17,Czesc 17,FRE5YLTYMHA3489,188.06
18,Czesc 18,3LWY3SUWI8X2PIF,1944.51
19,Czesc 19,MIZTPIWD4TEA7LX,311.08
20,Czesc 20,3KQT5R6Z6XIGN2D,106.37
21,Czesc 21,QVK4V9JB042DTBJ,1578.01
22,Czesc 22,D13A117AXTK58RK,2214.97
23,Czesc 23,F9OTMCRCZNWBR1N,1460.48
24,Czesc 24,NVBD6AKV7SJ3LXF,2524.47
25,Czesc 25,XT7PWWVWLMJQTCT,2595.89
26,Czesc 26,EYNM9TPKVGW5E7R,455.17
27,Czesc 27,RNHA3COSYW4LZ7Y,1187.09
28,Czesc 28,2BALYQVONYEZY1Q,592.88
29,Czesc 29,E5B54ASE25UO9JP,1502.87
30,Czesc 30,AY1M5RT71LAHFSS,1088.94
31,Czesc 31,MYKM265V8MXRAJA,1377.20
32,Czesc 32,S2MI51BK5ZFB30B,2360.30
33,Czesc 33,BCCHBL7W5BPEJ0Y,909.99
34,Czesc 34,USRJKJA11OTXZWX,1289.67
35,Czesc 35,P0WN5NOJYFFDO9G,2466.85
36,Czesc 36,DN0UGJS90H8ZNH5,2825.38
37,Czesc 37,VPVED7MAWVQTL85,1978.58
38,Czesc 38,50BSU9KS9E1YB2S,2581.29
39,Czesc 39,INLCJ2DZ2EIOEMB,542.08
40,Czesc 40,1JEFQ2RBL2RGYS8,1336.75
41,Czesc 41,64JB3JZOJL8VU1G,1519.69
42,Czesc 42,RNT53QFCOMNIANF,2137.09
43,Czesc 43,RY4PSRMOIWJZUTF,1839.19
44,Czesc 44,LPQ1Z83CQD7LPML,1592.97
45,Czesc 45,HH45C5HY0QSAED1,694.30
46,Czesc 46,00VQG9BVUCT34LP,1480.83
47,Czesc 47,GQKZ52T8PN5YAA9,2444.29
48,Czesc 48,8TREJOSEIY5U79R,2942.83
49,Czesc 49,3OB242L9DL49QWV,2113.81
50,Czesc 50,X3V4K2TZ8O19HUV,686.25
51,Czesc 51,Z1XW5K5X35OXPAZ,2793.43
52,Czesc 52,AFUCF664H1JB4FE,384.72
53,Czesc 53,0UMSB128TME9X8I,1139.12
54,Czesc 54,XG8YF1KNPV2UMDR,1276.92
55,Czesc 55,YPB60C6EDLLCSJB,1872.73
