1,621,20,186,257,31
2,806,88,15,264,73
3,880,70,362,38,98
4,140,8,286,73,25
5,77,3,335,41,83
6,37,8,41,124,79
7,5,88,231,293,84
8,415,33,10,297,68
9,892,66,84,261,11
10,690,19,381,294,28
11,563,44,112,124,73
12,105,68,97,4,56
13,509,32,233,164,98
14,520,4,104,221,50
15,998,42,358,179,56
16,576,18,282,281,8
17,761,97,452,45,43
18,831,71,197,231,38
19,973,22,450,278,38
20,52,23,60,134,77
21,435,83,483,63,17
22,722,21,12,62,26
23,390,8,169,195,92
24,923,23,85,300,27
25,617,19,404,167,7
26,300,77,54,60,23
27,603,88,463,171,95
28,398,76,294,133,60
29,750,3,45,172,67
30,266,33,176,7,60
31,557,66,334,241,3
32,995,4,170,64,85
33,613,85,140,210,72
34,662,31,465,148,77
35,439,27,482,13,99
36,204,6,168,148,87
37,960,5,242,239,65
38,739,17,196,248,1
39,725,17,300,214,88
40,23,5,400,33,45
41,938,91,466,115,30
42,19,62,189,208,25
43,911,80,452,259,51
44,567,96,484,151,57
45,81,21,125,214,51
46,313,3,462,126,59
47,168,43,330,197,87
48,979,8,330,16,90
49,495,94,468,271,4
50,435,41,230,177,16
51,19,78,269,281,54
52,164,3,129,61,48
53,242,62,15,114,2
54,687,96,394,167,79
55,872,60,110,184,44
56,252,65,98,251,74
57,833,61,416,14,79
58,553,88,467,140,32
59,715,47,71,79,52
60,533,52,212,123,51
61,98,97,55,72,45
62,364,38,235,258,63
63,854,5,92,193,15
64,967,1,115,35,64
65,554,25,436,212,65
66,759,38,275,34,100
67,359,10,337,38,87
68,502,56,340,122,72
69,469,63,408,38,63
70,937,31,68,144,96
71,556,57,145,222,13
72,475,79,149,66,33
73,894,49,300,142,24
74,519,63,261,222,71
75,845,84,33,262,45
76,345,38,484,80,84
77,935,7,239,135,51
78,404,56,484,29,13
79,818,67,433,45,73
80,394,54,17,129,50
81,557,7,63,81,43
82,667,75,199,230,33
83,94,30,207,258,89
84,419,48,172,35,96
85,70,21,367,198,38
86,881,47,254,196,98
87,772,78,220,133,81
88,373,96,246,98,93
89,28,81,42,168,74
90,773,65,499,145,2
91,137,85,20,167,49
92,116,99,288,161,62
93,670,78,243,56,88
94,796,82,314,166,39
95,698,81,409,134,61
96,477,12,265,7,38
97,291,56,107,217,14
98,551,33,93,46,50
99,495,71,71,265,85
100,771,18,256,202,32
101,730,21,227,249,61
102,336,34,270,43,50
103,344,91,370,97,22
104,914,50,26,186,90
105,408,20,427,15,14
106,885,54,263,88,13
107,990,75,124,252,88
108,352,39,229,57,25
109,178,59,451,51,91
110,603,60,202,101,89
111,508,69,69,102,35
112,80,82,117,183,69
113,355,75,77,47,20
114,726,96,325,188,30
115,246,61,44,157,79
116,240,74,195,204,64
117,567,16,394,171,66
118,407,51,200,51,92
119,18,39,127,8,16
120,77,69,43,197,78
121,256,29,45,294,23
122,319,51,78,83,6
123,767,3,330,235,10
124,508,3,356,299,8
125,704,12,368,266,67
126,691,69,360,156,40
127,347,18,131,81,65
128,812,68,26,157,85
129,25,75,69,281,42
130,752,71,445,193,74
131,89,53,369,206,2
132,890,36,240,110,98
133,609,83,285,169,75
134,512,53,405,149,46
135,329,88,431,227,43
136,781,54,20,46,59
137,481,65,267,298,85
138,373,22,348,207,20
139,50,38,228,147,26
140,323,26,491,28,29
141,951,42,404,97,65
142,357,28,407,283,42
143,653,79,264,20,87
144,123,90,432,67,65
145,114,45,393,8,93
146,70,58,8,241,82
147,835,17,100,118,79
148,267,19,72,92,50
149,45,27,381,268,25
150,315,25,171,170,23
151,466,2,113,19,5
152,220,99,255,232,6
153,695,3,464,95,93
154,807,20,347,49,80
155,811,69,490,43,94
156,981,2,126,7,11
157,714,25,351,231,25
158,353,14,118,51,59
159,447,23,496,152,31
160,93,30,361,57,95
161,306,80,442,125,93
162,97,69,140,38,18
163,619,5,150,29,38
164,492,75,254,208,71
165,169,5,99,209,26
166,217,30,482,135,88
167,985,96,405,40,53
168,651,28,446,262,94
169,464,78,16,58,50
170,799,25,383,233,25
171,968,24,353,82,54
172,371,47,182,143,76
173,136,6,331,94,18
174,58,78,27,185,33
175,439,13,197,291,36
176,907,77,285,33,37
177,712,39,208,1,61
178,482,7,167,92,86
179,765,78,396,37,44
180,358,41,393,138,5
181,857,90,76,110,83
182,292,27,208,293,86
183,132,40,84,12,82
184,27,10,480,251,36
185,176,2,188,201,65
186,413,2,130,91,23
187,22,14,258,171,83
188,22,24,444,160,26
189,948,95,308,294,29
190,727,79,128,83,75
191,112,57,56,149,0
192,39,4,222,203,18
193,41,80,230,168,25
194,578,39,405,229,58
195,646,6,267,27,48
196,657,86,171,73,57
197,282,4,113,263,82
198,76,79,73,108,40
199,175,14,23,240,55
200,629,43,107,177,13
201,365,100,450,128,91
202,163,5,453,77,10
203,306,82,207,249,78
204,359,38,354,107,6
205,116,60,464,242,97
206,202,10,324,89,89
207,904,72,329,215,100
208,185,16,60,193,52
209,384,84,31,93,76
210,466,84,367,202,45
211,251,90,419,3,44
212,814,20,313,256,61
213,858,70,119,296,74
214,666,33,146,198,25
215,727,76,296,281,71
216,554,27,496,26,48
217,116,38,381,76,100
218,337,94,4,45,0
219,232,7,364,259,23
220,104,43,336,13,23
221,388,27,283,115,15
222,395,70,100,49,11
223,380,55,17,139,37
224,899,93,121,91,38
225,323,55,444,196,79
226,283,85,214,71,11
227,274,65,414,82,59
228,680,74,271,128,94
229,21,86,430,204,47
230,351,65,313,216,36
231,922,23,66,203,75
232,186,11,101,197,5
233,545,11,388,171,4
234,329,7,89,32,6
235,166,28,307,268,65
236,600,88,467,227,21
237,475,73,427,192,15
238,461,6,119,179,97
239,553,36,78,300,45
240,308,42,93,123,46
241,247,48,179,221,33
242,86,92,191,81,99
243,287,94,465,226,97
244,926,50,431,208,90
245,872,81,113,211,61
246,173,29,226,131,50
247,892,83,123,252,12
248,688,76,449,224,49
249,282,91,251,21,62
250,268,84,225,231,84
251,49,43,40,71,90
252,146,61,465,135,75
253,292,18,16,104,91
254,351,68,277,152,73
255,988,42,441,101,41
256,592,38,58,141,57
257,530,30,177,226,52
258,716,43,187,183,81
259,455,62,185,67,45
260,73,62,438,271,36
261,961,48,120,194,83
262,252,28,475,172,66
263,715,86,237,77,31
264,395,76,47,52,40
265,947,32,231,184,22
266,113,35,272,212,23
267,197,41,368,48,40
268,622,4,390,297,66
269,606,100,40,276,70
270,147,84,339,173,11
271,586,32,182,95,7
272,694,35,84,158,48
273,239,75,483,216,65
274,894,65,136,232,77
275,479,37,263,75,30
276,660,49,489,63,72
277,228,68,323,287,17
278,189,41,216,75,92
279,195,49,63,31,48
280,150,24,202,146,72
281,98,84,354,96,49
282,452,24,264,158,34
283,160,87,485,95,100
284,284,93,135,170,45
285,116,87,407,282,29
286,457,37,497,296,24
287,295,54,7,53,7
288,799,50,325,236,31
289,693,31,297,40,23
290,245,72,1,209,25
291,612,36,212,115,39
292,797,26,1,44,85
293,182,79,141,37,76
294,89,88,394,163,49
295,970,80,360,291,80
296,392,91,88,207,23
297,940,53,388,262,24
298,892,85,233,120,50
299,591,34,343,287,87
300,168,82,129,15,20
301,563,88,50,211,29
302,212,14,237,297,5
303,594,40,497,54,26
304,588,39,417,127,57
305,487,81,386,215,7
306,2,61,449,68,91
307,908,88,312,11,92
308,736,88,134,204,28
309,453,32,174,39,88
310,498,14,215,219,84
311,132,41,463,29,90
312,259,36,375,16,29
313,341,19,21,228,23
314,394,26,78,22,36
315,799,35,439,207,58
316,872,80,58,242,12
317,818,9,283,292,76
318,523,48,433,58,86
319,895,42,16,154,54
320,335,45,238,121,88
321,964,32,288,90,29
322,726,65,440,278,18
323,322,63,361,112,41
324,28,98,194,72,0
325,965,57,186,24,40
326,352,73,203,9,47
327,31,68,307,107,99
328,144,72,358,114,75
329,474,12,112,234,79
330,832,16,385,276,81
331,620,86,454,242,33
332,430,35,334,94,51
333,981,47,134,93,57
334,16,6,404,243,62
335,867,54,498,274,55
336,73,71,304,290,95
337,936,22,339,46,42
338,10,34,59,131,97
339,37,94,116,17,28
340,787,92,154,229,46
341,883,27,52,263,40
342,756,32,227,218,43
343,895,79,328,66,85
344,632,18,184,218,14
345,137,32,398,213,76
346,623,29,302,133,82
